22 10:55:41.182 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-9, ratio=0.0, pv=0.0, timeoriginal=288000
22 10:55:41.183 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 288000 where issue = 16913 and customfield = 10601
22 10:55:41.183 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-12, ratio=1.2, pv=0.0, timeoriginal=57600
22 10:55:41.184 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17198 and customfield = 10601
22 10:55:41.184 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-119, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.184 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17126 and customfield = 10601
22 10:55:41.185 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-109, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.185 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17041 and customfield = 10601
22 10:55:41.186 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-85, ratio=0.0, pv=0.0, timeoriginal=57600
22 10:55:41.186 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 16999 and customfield = 10601
22 10:55:41.186 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-120, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.186 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17127 and customfield = 10601
22 10:55:41.187 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-122, ratio=0.0, pv=0.0, timeoriginal=57600
